geneid	chr	left	right
ENSG00000211669.2	chr22	23154243	23154244
ENSG00000211670.2	chr22	23161506	23161507
ENSG00000211671.2	chr22	23165152	23165153
ENSG00000207836.1	chr22	23165269	23165270
ENSG00000253234.1	chr22	23198936	23198937
ENSG00000211673.2	chr22	23222885	23222886
ENSG00000254709.2	chr22	23229959	23229960
ENSG00000211674.2	chr22	23235871	23235872
ENSG00000211675.2	chr22	23237554	23237555
ENSG00000211677.2	chr22	23243155	23243156
ENSG00000211678.2	chr22	23247029	23247030
ENSG00000211679.2	chr22	23248511	23248512
ENSG00000254030.1	chr22	23257804	23257805
ENSG00000222037.5	chr22	23261706	23261707
ENSG00000211685.2	chr22	23264765	23264766
ENSG00000128266.7	chr22	23412539	23412540
ENSG00000100218.7	chr22	23487207	23487208
ENSG00000100228.8	chr22	23487512	23487513
ENSG00000186716.15	chr22	23521890	23521891
ENSG00000230701.1	chr22	23605322	23605323
ENSG00000227755.1	chr22	23788784	23788785
ENSG00000178248.10	chr22	23829166	23829167
ENSG00000211683.3	chr22	23981127	23981128
ENSG00000234353.2	chr22	23982948	23982949
ENSG00000244723.3	chr22	23995520	23995521
ENSG00000159496.10	chr22	24030322	24030323
ENSG00000273000.1	chr22	24059533	24059534
ENSG00000272578.1	chr22	24059542	24059543
ENSG00000228315.7	chr22	24059542	24059543
ENSG00000270041.1	chr22	24081475	24081476
ENSG00000187792.3	chr22	24093278	24093279
ENSG00000128218.7	chr22	24096654	24096655
ENSG00000169314.10	chr22	24105207	24105208
ENSG00000099953.5	chr22	24110412	24110413
ENSG00000250479.4	chr22	24110629	24110630
ENSG00000267954.1	chr22	24126144	24126145
ENSG00000099956.13	chr22	24129149	24129150
ENSG00000099958.10	chr22	24181314	24181315
ENSG00000133460.15	chr22	24198889	24198890
ENSG00000251357.4	chr22	24204374	24204375
ENSG00000244425.2	chr22	24221976	24221977
ENSG00000240972.1	chr22	24236190	24236191
ENSG00000218537.1	chr22	24241116	24241117
ENSG00000273295.1	chr22	24249254	24249255
ENSG00000225282.1	chr22	24269086	24269087
ENSG00000099974.7	chr22	24309088	24309089
ENSG00000272787.1	chr22	24311399	24311400
ENSG00000099977.9	chr22	24322659	24322660
ENSG00000235231.3	chr22	24373116	24373117
ENSG00000184674.8	chr22	24384679	24384680
ENSG00000099991.12	chr22	24407641	24407642
ENSG00000232545.1	chr22	24497651	24497652
ENSG00000099994.10	chr22	24577226	24577227
ENSG00000100014.15	chr22	24666785	24666786
ENSG00000258555.2	chr22	24666865	24666866
ENSG00000128271.15	chr22	24813846	24813847
ENSG00000100024.10	chr22	24863205	24863206
ENSG00000228923.1	chr22	24912475	24912476
ENSG00000100028.7	chr22	24951470	24951471
ENSG00000138867.12	chr22	24951902	24951903
ENSG00000100031.14	chr22	24979717	24979718
ENSG00000178026.8	chr22	24989174	24989175
ENSG00000215481.4	chr22	25028881	25028882
ENSG00000224124.2	chr22	25055113	25055114
ENSG00000224334.1	chr22	25082889	25082890
ENSG00000197077.8	chr22	25348696	25348697
ENSG00000206066.3	chr22	25714222	25714223
ENSG00000231466.2	chr22	25746288	25746289
ENSG00000100068.7	chr22	25801343	25801344
ENSG00000272942.1	chr22	25831036	25831037
ENSG00000272798.1	chr22	25832278	25832279
ENSG00000100058.8	chr22	25844071	25844072
ENSG00000272977.1	chr22	25872184	25872185
ENSG00000234884.1	chr22	25960428	25960429
ENSG00000100077.10	chr22	25960815	25960816
ENSG00000224003.1	chr22	26043227	26043228
ENSG00000222585.1	chr22	26111135	26111136
ENSG00000133454.11	chr22	26138110	26138111
ENSG00000128203.6	chr22	26825238	26825239
ENSG00000100099.16	chr22	26879802	26879803
ENSG00000100104.8	chr22	26879842	26879843
ENSG00000100109.12	chr22	26908470	26908471
ENSG00000261188.1	chr22	26908502	26908503
ENSG00000260065.1	chr22	26921001	26921002
ENSG00000213707.2	chr22	26956491	26956492
ENSG00000128294.11	chr22	26992680	26992681
ENSG00000100122.5	chr22	27014051	27014052
ENSG00000196431.3	chr22	27017927	27017928
ENSG00000225783.2	chr22	27042391	27042392
ENSG00000206028.1	chr22	27068616	27068617
ENSG00000244625.1	chr22	27068729	27068730
ENSG00000223704.1	chr22	27254596	27254597
ENSG00000231369.1	chr22	27283510	27283511
ENSG00000169184.5	chr22	28197485	28197486
ENSG00000235954.2	chr22	28315363	28315364
ENSG00000180957.13	chr22	28316121	28316122
ENSG00000100154.10	chr22	29075852	29075853
ENSG00000100209.5	chr22	29138018	29138019
ENSG00000183765.16	chr22	29138409	29138410
ENSG00000159873.5	chr22	29168661	29168662
ENSG00000100219.12	chr22	29196584	29196585
ENSG00000226471.2	chr22	29196670	29196671
ENSG00000272858.1	chr22	29210901	29210902
ENSG00000183579.11	chr22	29279579	29279580
ENSG00000183762.8	chr22	29469065	29469066
ENSG00000186998.11	chr22	29601839	29601840
ENSG00000237015.1	chr22	29656877	29656878
ENSG00000182944.13	chr22	29663997	29663998
ENSG00000100263.9	chr22	29664197	29664198
ENSG00000185340.11	chr22	29702571	29702572
ENSG00000273216.1	chr22	29713208	29713209
ENSG00000100276.9	chr22	29715667	29715668
ENSG00000239127.1	chr22	29729246	29729247
ENSG00000100280.12	chr22	29819167	29819168
ENSG00000128250.5	chr22	29834571	29834572
ENSG00000225465.6	chr22	29874058	29874059
ENSG00000100285.9	chr22	29876218	29876219
ENSG00000100296.9	chr22	29951204	29951205
ENSG00000184117.7	chr22	29977325	29977326
ENSG00000186575.13	chr22	29999544	29999545
ENSG00000100314.3	chr22	30116072	30116073
ENSG00000100319.11	chr22	30162999	30163000
ENSG00000184076.10	chr22	30163357	30163358
ENSG00000100325.10	chr22	30234270	30234271
ENSG00000100330.11	chr22	30279143	30279144
ENSG00000128342.4	chr22	30642839	30642840
ENSG00000099985.3	chr22	30662828	30662829
ENSG00000239282.3	chr22	30685615	30685616
ENSG00000248751.2	chr22	30695470	30695471
ENSG00000099992.11	chr22	30723034	30723035
ENSG00000187860.6	chr22	30752623	30752624
ENSG00000099995.14	chr22	30752935	30752936
ENSG00000100003.13	chr22	30792845	30792846
ENSG00000249590.3	chr22	30805243	30805244
ENSG00000268538.1	chr22	30814468	30814469
ENSG00000273350.1	chr22	30816500	30816501
ENSG00000272689.1	chr22	30817524	30817525
ENSG00000099999.10	chr22	30817759	30817760
ENSG00000242114.1	chr22	30821517	30821518
ENSG00000273428.1	chr22	30831530	30831531
ENSG00000128242.8	chr22	30970573	30970574
ENSG00000185339.4	chr22	31002824	31002825
ENSG00000100029.13	chr22	31003069	31003070
ENSG00000100036.11	chr22	31031638	31031639
ENSG00000250318.1	chr22	31050800	31050801
ENSG00000167065.9	chr22	31063876	31063877
ENSG00000184792.11	chr22	31089768	31089769
ENSG00000237977.1	chr22	31298205	31298206
ENSG00000133422.8	chr22	31364283	31364284
ENSG00000253352.4	chr22	31366662	31366663
ENSG00000269972.1	chr22	31373843	31373844
ENSG00000269987.1	chr22	31374833	31374834
ENSG00000183963.14	chr22	31460090	31460091
ENSG00000273387.1	chr22	31479550	31479551
ENSG00000198832.6	chr22	31516054	31516055
ENSG00000185133.9	chr22	31518716	31518717
ENSG00000138942.11	chr22	31556167	31556168
ENSG00000254835.1	chr22	31601601	31601602
ENSG00000182541.13	chr22	31608224	31608225
ENSG00000100100.8	chr22	31688519	31688520
ENSG00000228839.1	chr22	31731334	31731335
ENSG00000100105.13	chr22	31742217	31742218
ENSG00000213888.2	chr22	31742874	31742875
ENSG00000185721.7	chr22	31795508	31795509
ENSG00000240591.1	chr22	31850236	31850237
ENSG00000224623.1	chr22	31857649	31857650
ENSG00000198089.10	chr22	31884673	31884674
ENSG00000184708.13	chr22	31892093	31892094
ENSG00000214093.3	chr22	31955468	31955469
ENSG00000241878.5	chr22	32058417	32058418
ENSG00000183530.9	chr22	32146125	32146126
ENSG00000100150.12	chr22	32149943	32149944
ENSG00000128245.10	chr22	32340446	32340447
ENSG00000128254.9	chr22	32341503	32341504
ENSG00000232346.1	chr22	32435476	32435477
ENSG00000128276.6	chr22	32750871	32750872
ENSG00000230736.2	chr22	32772650	32772651
ENSG00000205853.6	chr22	32778038	32778039
ENSG00000241954.1	chr22	32779772	32779773
ENSG00000232218.1	chr22	32782654	32782655
ENSG00000100220.7	chr22	32808241	32808242
ENSG00000100225.13	chr22	32870662	32870663
ENSG00000232073.1	chr22	33560048	33560049
ENSG00000273082.1	chr22	34318409	34318410
ENSG00000133424.16	chr22	34318828	34318829
ENSG00000175329.8	chr22	35462128	35462129
ENSG00000233080.2	chr22	35627048	35627049
ENSG00000100281.9	chr22	35653444	35653445
ENSG00000100284.16	chr22	35695267	35695268
ENSG00000100292.12	chr22	35776353	35776354
ENSG00000100297.11	chr22	35796055	35796056
ENSG00000100302.6	chr22	35936914	35936915
ENSG00000198125.8	chr22	36033997	36033998
ENSG00000221963.5	chr22	36044441	36044442
ENSG00000100320.18	chr22	36424472	36424473
ENSG00000128284.15	chr22	36562224	36562225
ENSG00000100336.13	chr22	36600885	36600886
ENSG00000128335.9	chr22	36635999	36636000
ENSG00000100342.16	chr22	36649055	36649056
ENSG00000100345.16	chr22	36784062	36784063
ENSG00000223695.1	chr22	36784670	36784671
ENSG00000237668.1	chr22	36817688	36817689
ENSG00000100348.5	chr22	36878076	36878077
ENSG00000100350.10	chr22	36903147	36903148
ENSG00000100353.13	chr22	36925482	36925483
ENSG00000100360.10	chr22	37172299	37172300
ENSG00000100365.10	chr22	37257029	37257030
ENSG00000100368.9	chr22	37309669	37309670
ENSG00000128309.12	chr22	37415675	37415676
ENSG00000128311.9	chr22	37415680	37415681
ENSG00000100379.13	chr22	37447778	37447779
ENSG00000187045.12	chr22	37505602	37505603
ENSG00000100385.9	chr22	37571093	37571094
ENSG00000133466.9	chr22	37595424	37595425
ENSG00000183473.5	chr22	37608361	37608362
ENSG00000226233.1	chr22	37611930	37611931
ENSG00000255594.1	chr22	37622034	37622035
ENSG00000128340.10	chr22	37640487	37640488
ENSG00000100055.16	chr22	37678067	37678068
ENSG00000166897.10	chr22	37823504	37823505
ENSG00000100060.13	chr22	37882438	37882439
ENSG00000128283.6	chr22	37956453	37956454
ENSG00000100083.14	chr22	38004480	38004481
ENSG00000100092.16	chr22	38030660	38030661
ENSG00000233360.4	chr22	38054383	38054384
ENSG00000241360.1	chr22	38054733	38054734
ENSG00000100097.7	chr22	38071614	38071615
ENSG00000100101.13	chr22	38077679	38077680
ENSG00000100106.15	chr22	38093010	38093011
ENSG00000189060.4	chr22	38201113	38201114
ENSG00000100116.12	chr22	38203911	38203912
ENSG00000207945.1	chr22	38240377	38240378
ENSG00000100129.13	chr22	38244874	38244875
ENSG00000100124.8	chr22	38245333	38245334
ENSG00000100139.9	chr22	38301663	38301664
ENSG00000100142.10	chr22	38348613	38348614
ENSG00000128346.6	chr22	38349675	38349676
ENSG00000100151.11	chr22	38452317	38452318
ENSG00000233739.1	chr22	38469946	38469947
ENSG00000272720.1	chr22	38486133	38486134
ENSG00000128298.12	chr22	38506676	38506677
ENSG00000185022.7	chr22	38597888	38597889
ENSG00000184381.14	chr22	38601696	38601697
ENSG00000256873.1	chr22	38617119	38617120
ENSG00000235246.1	chr22	38627325	38627326
ENSG00000198792.8	chr22	38669039	38669040
ENSG00000244627.1	chr22	38793449	38793450
ENSG00000213923.6	chr22	38794526	38794527
ENSG00000100196.6	chr22	38864066	38864067
ENSG00000100201.14	chr22	38903664	38903665
ENSG00000100206.5	chr22	38966290	38966291
ENSG00000184949.11	chr22	39052633	39052634
ENSG00000100211.6	chr22	39052640	39052641
ENSG00000230912.1	chr22	39064754	39064755
ENSG00000228274.3	chr22	39077791	39077792
ENSG00000100216.4	chr22	39077952	39077953
ENSG00000100221.6	chr22	39097560	39097561
ENSG00000100226.11	chr22	39101727	39101728
ENSG00000229598.1	chr22	39119509	39119510
ENSG00000257034.1	chr22	39127777	39127778
ENSG00000203583.2	chr22	39128913	39128914
ENSG00000273096.1	chr22	39132796	39132797
ENSG00000225450.1	chr22	39135007	39135008
ENSG00000272669.1	chr22	39138629	39138630
ENSG00000273076.1	chr22	39139499	39139500
ENSG00000100242.11	chr22	39190147	39190148
ENSG00000100246.8	chr22	39190202	39190203
ENSG00000221890.2	chr22	39239986	39239987
ENSG00000183741.7	chr22	39268318	39268319
ENSG00000128383.8	chr22	39348745	39348746
ENSG00000179750.11	chr22	39378351	39378352
ENSG00000244509.3	chr22	39410087	39410088
ENSG00000243811.3	chr22	39410367	39410368
ENSG00000128394.12	chr22	39436608	39436609
ENSG00000239713.3	chr22	39436923	39436924
ENSG00000259421.1	chr22	39466418	39466419
ENSG00000225720.2	chr22	39487590	39487591
ENSG00000100298.11	chr22	39493228	39493229
ENSG00000226024.1	chr22	39516570	39516571
ENSG00000100307.8	chr22	39548678	39548679
ENSG00000100311.12	chr22	39640755	39640756
ENSG00000209480.1	chr22	39709915	39709916
ENSG00000209482.1	chr22	39711311	39711312
ENSG00000100316.11	chr22	39716393	39716394
ENSG00000100321.10	chr22	39745929	39745930
ENSG00000100324.9	chr22	39795745	39795746
ENSG00000128268.11	chr22	39853348	39853349
ENSG00000227188.1	chr22	39872826	39872827
ENSG00000100335.8	chr22	39895436	39895437
ENSG00000128272.10	chr22	39915699	39915700
ENSG00000187051.4	chr22	39928859	39928860
ENSG00000226085.2	chr22	40271292	40271293
ENSG00000176177.9	chr22	40289867	40289868
ENSG00000100351.12	chr22	40297085	40297086
ENSG00000225528.1	chr22	40356400	40356401
ENSG00000133477.12	chr22	40390952	40390953
ENSG00000100354.16	chr22	40440820	40440821
ENSG00000239900.7	chr22	40742506	40742507
ENSG00000100359.16	chr22	40766594	40766595
ENSG00000272834.1	chr22	40811006	40811007
ENSG00000232564.1	chr22	40917803	40917804
ENSG00000230071.2	chr22	40984006	40984007
ENSG00000196588.10	chr22	41032705	41032706
ENSG00000128285.4	chr22	41074753	41074754
ENSG00000230769.1	chr22	41185270	41185271
ENSG00000100372.10	chr22	41215402	41215403
ENSG00000100380.8	chr22	41253025	41253026
ENSG00000196236.8	chr22	41253080	41253081
ENSG00000172404.4	chr22	41258129	41258130
ENSG00000100387.8	chr22	41347350	41347351
ENSG00000237214.2	chr22	41460055	41460056
ENSG00000100393.9	chr22	41487789	41487790
ENSG00000221160.1	chr22	41488516	41488517
ENSG00000100395.10	chr22	41601208	41601209
ENSG00000235513.1	chr22	41613630	41613631
ENSG00000100399.11	chr22	41636937	41636938
ENSG00000100401.15	chr22	41682254	41682255
ENSG00000100403.10	chr22	41697525	41697526
ENSG00000167074.10	chr22	41763336	41763337
ENSG00000273424.1	chr22	41826937	41826938
ENSG00000183864.4	chr22	41843026	41843027
ENSG00000100410.3	chr22	41864728	41864729
ENSG00000100412.11	chr22	41865128	41865129
ENSG00000100413.12	chr22	41940609	41940610
ENSG00000172346.10	chr22	41956766	41956767
ENSG00000100417.7	chr22	41985893	41985894
ENSG00000100418.7	chr22	42017099	42017100
ENSG00000196419.8	chr22	42017122	42017123
ENSG00000184208.10	chr22	42084942	42084943
ENSG00000100138.9	chr22	42086507	42086508
ENSG00000255782.1	chr22	42090190	42090191
ENSG00000167077.8	chr22	42095502	42095503
ENSG00000100147.9	chr22	42196682	42196683
ENSG00000198911.7	chr22	42229108	42229109
ENSG00000234965.1	chr22	42310569	42310570
ENSG00000260655.1	chr22	42319103	42319104
ENSG00000263463.1	chr22	42319300	42319301
ENSG00000159958.3	chr22	42322821	42322822
ENSG00000100162.10	chr22	42343167	42343168
ENSG00000205704.5	chr22	42348168	42348169
ENSG00000100167.15	chr22	42372275	42372276
ENSG00000224883.1	chr22	42378220	42378221
ENSG00000183066.10	chr22	42394728	42394729
ENSG00000215347.3	chr22	42397969	42397970
ENSG00000198951.7	chr22	42466845	42466846
ENSG00000177096.4	chr22	42470254	42470255
ENSG00000183172.8	chr22	42475694	42475695
ENSG00000270083.1	chr22	42486031	42486032
ENSG00000237037.5	chr22	42486934	42486935
ENSG00000184983.5	chr22	42486958	42486959
ENSG00000213790.2	chr22	42504956	42504957
ENSG00000100197.16	chr22	42526907	42526908
ENSG00000227370.1	chr22	42528549	42528550
ENSG00000232710.1	chr22	42535937	42535938
ENSG00000205702.6	chr22	42540575	42540576
ENSG00000226450.2	chr22	42551006	42551007
ENSG00000182057.4	chr22	42665758	42665759
ENSG00000233903.2	chr22	42672360	42672361
ENSG00000273366.1	chr22	42674193	42674194
ENSG00000100207.14	chr22	42739621	42739622
ENSG00000235568.2	chr22	42828400	42828401
ENSG00000230107.1	chr22	42834028	42834029
ENSG00000172250.10	chr22	42896584	42896585
ENSG00000189306.6	chr22	42915807	42915808
ENSG00000183569.13	chr22	42949622	42949623
ENSG00000202058.1	chr22	42961335	42961336
ENSG00000182841.8	chr22	42978006	42978007
ENSG00000100227.13	chr22	43010967	43010968
ENSG00000270022.2	chr22	43011249	43011250
ENSG00000100243.16	chr22	43045573	43045574
ENSG00000128274.11	chr22	43117303	43117304
ENSG00000234009.1	chr22	43173301	43173302
ENSG00000242247.6	chr22	43254111	43254112
ENSG00000100266.13	chr22	43411150	43411151
ENSG00000100271.12	chr22	43485433	43485434
ENSG00000100290.2	chr22	43506753	43506754
ENSG00000100294.8	chr22	43539399	43539400
ENSG00000100300.13	chr22	43547519	43547520
ENSG00000100304.12	chr22	43583138	43583139
ENSG00000186976.10	chr22	44208216	44208217
ENSG00000261251.1	chr22	44208335	44208336
ENSG00000100344.6	chr22	44319618	44319619
ENSG00000100347.10	chr22	44351300	44351301
ENSG00000188677.10	chr22	44395090	44395091
ENSG00000138964.12	chr22	44568835	44568836
ENSG00000188636.3	chr22	44894177	44894178
ENSG00000186654.16	chr22	45064592	45064593
ENSG00000248405.5	chr22	45098112	45098113
ENSG00000241484.5	chr22	45098354	45098355
ENSG00000056487.11	chr22	45405879	45405880
ENSG00000273243.1	chr22	45551891	45551892
ENSG00000226328.2	chr22	45559661	45559662
ENSG00000093000.14	chr22	45559721	45559722
ENSG00000273353.1	chr22	45574870	45574871
ENSG00000100364.14	chr22	45636649	45636650
ENSG00000273287.1	chr22	45659465	45659466
ENSG00000100376.7	chr22	45704848	45704849
ENSG00000077935.12	chr22	45809499	45809500
ENSG00000128408.7	chr22	45809571	45809572
ENSG00000238120.1	chr22	46001500	46001501
ENSG00000130638.11	chr22	46067677	46067678
ENSG00000188064.5	chr22	46373008	46373009
ENSG00000273145.1	chr22	46409485	46409486
ENSG00000231711.2	chr22	46440732	46440733
ENSG00000197182.8	chr22	46449748	46449749
ENSG00000182257.5	chr22	46450023	46450024
ENSG00000235159.1	chr22	46465770	46465771
ENSG00000186951.12	chr22	46546423	46546424
ENSG00000205643.6	chr22	46646575	46646576
ENSG00000130943.5	chr22	46659218	46659219
ENSG00000075234.12	chr22	46663857	46663858
ENSG00000075218.14	chr22	46692637	46692638
ENSG00000100416.8	chr22	46726771	46726772
ENSG00000075275.12	chr22	46933066	46933067
ENSG00000075240.12	chr22	46971908	46971909
ENSG00000100422.9	chr22	47134157	47134158
ENSG00000260708.1	chr22	47158459	47158460
ENSG00000054611.9	chr22	47158517	47158518
ENSG00000212939.2	chr22	49942328	49942329
ENSG00000213279.2	chr22	49969073	49969074
ENSG00000235111.1	chr22	50009363	50009364
ENSG00000188511.8	chr22	50051189	50051190
ENSG00000226954.1	chr22	50118153	50118154
ENSG00000100425.14	chr22	50221159	50221160
ENSG00000260613.1	chr22	50231433	50231434
ENSG00000100426.6	chr22	50247489	50247490
ENSG00000273192.1	chr22	50295875	50295876
ENSG00000184164.10	chr22	50311814	50311815
ENSG00000182858.9	chr22	50312105	50312106
ENSG00000198355.4	chr22	50354160	50354161
ENSG00000100427.11	chr22	50524330	50524331
ENSG00000073146.11	chr22	50528307	50528308
ENSG00000073150.9	chr22	50609159	50609160
ENSG00000170638.5	chr22	50624343	50624344
ENSG00000273188.1	chr22	50630830	50630831
ENSG00000073169.9	chr22	50639407	50639408
ENSG00000272836.1	chr22	50644490	50644491
ENSG00000273137.1	chr22	50647970	50647971
ENSG00000128159.7	chr22	50683420	50683421
ENSG00000100429.13	chr22	50689833	50689834
ENSG00000188130.9	chr22	50700253	50700254
ENSG00000185386.10	chr22	50709195	50709196
ENSG00000268427.1	chr22	50714102	50714103
ENSG00000196576.10	chr22	50746055	50746056
ENSG00000227484.1	chr22	50753059	50753060
ENSG00000205593.7	chr22	50765488	50765489
ENSG00000100239.11	chr22	50781732	50781733
ENSG00000100241.16	chr22	50913453	50913454
ENSG00000128165.7	chr22	50919984	50919985
ENSG00000100253.8	chr22	50925212	50925213
ENSG00000100258.13	chr22	50946134	50946135
ENSG00000025770.14	chr22	50946644	50946645
ENSG00000272821.1	chr22	50962354	50962355
ENSG00000130489.8	chr22	50964867	50964868
ENSG00000025708.8	chr22	50968484	50968485
ENSG00000177989.9	chr22	50971008	50971009
ENSG00000273272.1	chr22	50981078	50981079
ENSG00000272666.1	chr22	50981334	50981335
ENSG00000130487.4	chr22	50986461	50986462
ENSG00000217442.3	chr22	51001333	51001334
ENSG00000205560.8	chr22	51017898	51017899
ENSG00000254413.4	chr22	51021393	51021394
ENSG00000205559.3	chr22	51021454	51021455
ENSG00000008735.10	chr22	51039113	51039114
ENSG00000100288.15	chr22	51039883	51039884
ENSG00000100299.13	chr22	51066606	51066607
ENSG00000251322.3	chr22	51112842	51112843
ENSG00000213683.3	chr22	51193861	51193862
ENSG00000079974.13	chr22	51222090	51222091
